"Year","Area","Degree of urbanisation, %"
"2023","Akaa",88.1
"2023","Alajärvi",62.9
"2023","Alavieska",52.4
"2023","Alavus",62.0
"2023","Asikkala",65.4
"2023","Askola",54.1
"2023","Aura",71.4
"2023","Brändö",0.0
"2023","Eckerö",39.5
"2023","Enonkoski",38.6
"2023","Enontekiö",27.6
"2023","Espoo",99.5
"2023","Eura",71.8
"2023","Eurajoki",64.5
"2023","Evijärvi",36.4
"2023","Finström",42.7
"2023","Forssa",91.6
"2023","Föglö",0.0
"2023","Geta",0.0
"2023","Haapajärvi",68.9
"2023","Haapavesi",61.9
"2023","Hailuoto",54.2
"2023","Halsua",44.7
"2023","Hamina",87.9
"2023","Hammarland",42.0
"2023","Hankasalmi",47.2
"2023","Hanko",95.4
"2023","Harjavalta",93.4
"2023","Hartola",53.5
"2023","Hattula",76.0
"2023","Hausjärvi",65.4
"2023","Heinola",91.2
"2023","Heinävesi",44.1
"2023","Helsinki",99.9
"2023","Hirvensalmi",34.6
"2023","Hollola",80.4
"2023","Huittinen",71.9
"2023","Humppila",62.6
"2023","Hyrynsalmi",56.6
"2023","Hyvinkää",94.3
"2023","Hämeenkyrö",60.9
"2023","Hämeenlinna",88.6
"2023","Ii",79.5
"2023","Iisalmi",76.8
"2023","Iitti",60.1
"2023","Ikaalinen",61.0
"2023","Ilmajoki",77.2
"2023","Ilomantsi",53.7
"2023","Imatra",97.5
"2023","Inari",65.9
"2023","Ingå",44.3
"2023","Isojoki",42.3
"2023","Isokyrö",70.0
"2023","Janakkala",77.3
"2023","Joensuu",90.9
"2023","Jokioinen",62.1
"2023","Jomala",70.4
"2023","Joroinen",58.5
"2023","Joutsa",58.9
"2023","Juuka",47.1
"2023","Juupajoki",43.0
"2023","Juva",51.2
"2023","Jyväskylä",95.5
"2023","Jämijärvi",36.7
"2023","Jämsä",74.4
"2023","Järvenpää",99.9
"2023","Kaarina",96.1
"2023","Kaavi",45.0
"2023","Kajaani",88.6
"2023","Kalajoki",77.5
"2023","Kangasala",86.6
"2023","Kangasniemi",51.2
"2023","Kankaanpää",69.9
"2023","Kannonkoski",35.7
"2023","Kannus",75.4
"2023","Karijoki",40.0
"2023","Karkkila",86.1
"2023","Karstula",51.8
"2023","Karvia",34.9
"2023","Kaskinen",99.8
"2023","Kauhajoki",67.5
"2023","Kauhava",67.2
"2023","Kauniainen",100.0
"2023","Kaustinen",67.3
"2023","Keitele",49.2
"2023","Kemi",99.4
"2023","Kemijärvi",70.2
"2023","Keminmaa",88.9
"2023","Kimitoön",44.7
"2023","Kempele",96.5
"2023","Kerava",99.9
"2023","Keuruu",71.2
"2023","Kihniö",34.5
"2023","Kinnula",53.4
"2023","Kirkkonummi",91.8
"2023","Kitee",55.0
"2023","Kittilä",57.8
"2023","Kiuruvesi",50.6
"2023","Kivijärvi",51.6
"2023","Kokemäki",59.4
"2023","Kokkola",89.1
"2023","Kolari",50.7
"2023","Konnevesi",40.3
"2023","Kontiolahti",74.0
"2023","Korsnäs",55.3
"2023","Koski Tl",53.5
"2023","Kotka",98.2
"2023","Kouvola",86.1
"2023","Kristinestad",69.3
"2023","Kronoby",58.4
"2023","Kuhmo",64.3
"2023","Kuhmoinen",55.4
"2023","Kumlinge",0.0
"2023","Kuopio",87.5
"2023","Kuortane",37.1
"2023","Kurikka",62.4
"2023","Kustavi",37.6
"2023","Kuusamo",65.5
"2023","Kyyjärvi",57.5
"2023","Kärkölä",66.8
"2023","Kärsämäki",45.7
"2023","Kökar",0.0
"2023","Lahti",97.6
"2023","Laihia",82.8
"2023","Laitila",73.0
"2023","Lapinjärvi",28.1
"2023","Lapinlahti",54.1
"2023","Lappajärvi",54.4
"2023","Lappeenranta",90.5
"2023","Lapua",79.1
"2023","Laukaa",73.8
"2023","Lemi",54.6
"2023","Lemland",33.7
"2023","Lempäälä",89.9
"2023","Leppävirta",58.1
"2023","Lestijärvi",33.6
"2023","Lieksa",69.7
"2023","Lieto",84.8
"2023","Liminka",81.6
"2023","Liperi",58.5
"2023","Lohja",82.9
"2023","Loimaa",68.5
"2023","Loppi",56.1
"2023","Loviisa",74.6
"2023","Luhanka",0.0
"2023","Lumijoki",66.8
"2023","Lumparland",0.0
"2023","Larsmo",90.6
"2023","Luumäki",62.3
