Constituency_Year,SDP,KOK,KESK,PS,VAS,VIHR,RKP,KD,Others,Other party,SKS (2007),SKP,LIB (2007),LIIKE,KaL,Pirate Pty,SEP (1999)
Akaa_2007,2304,1839,789,269,586,401,0,522,0,0,3,65,22,0,12,0,0
Akaa_2011,2372,1874,778,2089,794,406,0,370,0,0,0,35,0,0,5,43,0
Akaa_2015,2214,1455,1248,1935,620,693,0,404,41,0,0,18,0,0,41,58,0
Akaa_2019,2537,1486,676,1780,671,708,7,414,197,0,0,19,0,0,23,23,0
Akaa_2023,2611,1700,648,2289,468,409,10,435,2,0,0,16,0,260,1,8,0
Alahärmä -09_1983,265,717,1708,341,305,0,18,101,0,0,0,0,0,0,0,0,0
Alahärmä -09_1987,241,639,1879,230,215,23,13,112,0,62,0,0,10,0,0,0,15
Alahärmä -09_1991,205,533,2101,136,196,40,13,70,0,3,0,0,3,0,0,0,12
Alahärmä -09_1995,306,615,1875,66,162,20,10,85,1,3,13,0,0,0,23,0,4
Alahärmä -09_1999,162,904,1526,106,114,15,9,109,1,0,0,10,0,0,36,0,0
Alahärmä -09_2003,162,1012,1376,78,66,49,7,157,0,0,0,7,0,0,15,0,0
Alahärmä -09_2007,171,880,1329,166,53,15,15,115,0,0,0,2,0,0,22,0,0
Alajärvi_1983,489,471,3529,339,470,0,7,128,0,0,0,0,0,0,0,0,0
Alajärvi_1987,446,633,2695,1339,311,23,5,162,0,34,0,0,0,0,0,0,27
Alajärvi_1991,156,384,2303,2481,151,43,3,139,1,4,0,0,6,0,0,0,6
Alajärvi_1995,397,283,2434,1798,178,38,5,146,0,7,33,0,0,0,68,0,4
Alajärvi_1999,148,485,2380,2006,169,44,3,125,2,0,0,3,2,0,142,0,0
Alajärvi_2003,295,256,2695,1437,193,58,7,230,0,0,0,4,0,0,85,0,0
Alajärvi_2007,163,340,2163,1375,218,23,3,234,0,0,0,3,0,0,246,0,0
Alajärvi_2011,295,510,2343,1990,144,44,9,552,0,0,0,3,0,0,94,9,0
Alajärvi_2015,343,363,2571,1620,65,49,17,349,1,0,0,0,0,0,155,15,0
Alajärvi_2019,283,410,2010,1302,156,135,9,471,3,0,0,2,0,0,4,2,0
Alajärvi_2023,229,900,1903,1219,48,120,23,530,0,0,0,0,0,32,0,0,0
Alastaro -09_1983,275,569,682,372,429,0,4,63,9,2,0,0,0,0,0,0,0
Alastaro -09_1987,317,593,666,185,235,14,5,36,0,116,0,0,2,0,0,0,14
Alastaro -09_1991,189,352,1005,101,251,25,1,19,1,11,0,0,5,0,0,0,7
Alastaro -09_1995,267,352,837,30,235,38,3,29,23,3,67,0,2,0,24,0,0
Alastaro -09_1999,153,402,790,0,195,31,3,27,13,0,21,81,1,0,2,0,0
Alastaro -09_2003,192,418,820,7,194,45,4,38,1,0,11,47,2,0,6,0,0
Alastaro -09_2007,162,350,790,74,221,35,7,42,0,0,6,7,0,0,0,0,0
Alavieska_1983,121,102,1239,228,148,0,0,59,0,1,0,0,0,0,0,0,0
Alavieska_1987,99,93,1216,157,111,28,0,40,0,14,0,0,0,0,0,0,14
Alavieska_1991,67,57,1249,182,152,29,0,39,0,2,0,0,14,0,0,0,0
Alavieska_1995,129,61,1098,22,118,25,0,39,15,0,12,0,5,0,126,0,0
Alavieska_1999,106,57,1004,86,157,21,0,23,0,0,3,23,0,0,6,0,0
Alavieska_2003,160,48,1039,52,67,37,2,40,0,0,0,5,0,0,22,0,0
Alavieska_2007,115,60,1112,49,53,19,0,37,0,0,0,0,0,0,14,0,0
Alavieska_2011,89,39,844,231,54,45,2,115,0,0,0,1,0,0,0,1,0
Alavieska_2015,55,36,1000,219,48,52,3,16,0,0,0,0,0,0,4,6,0
Alavieska_2019,62,56,674,351,64,44,3,76,49,0,0,0,0,0,1,1,0
Alavieska_2023,71,80,574,451,81,8,2,35,0,0,0,0,0,8,0,0,0
Alavus_1983,1338,1164,3120,481,462,0,14,197,0,0,0,0,0,0,0,0,0
Alavus_1987,615,1202,3239,468,488,72,7,202,0,100,0,0,50,0,0,0,41
Alavus_1991,801,887,3480,252,437,107,6,160,0,5,0,0,24,0,0,0,22
Alavus_1995,890,781,3387,171,298,97,6,174,0,8,78,0,8,0,27,0,9
Alavus_1999,706,632,3080,343,164,106,8,222,58,0,0,8,6,0,17,0,0
Alavus_2003,710,559,2760,391,138,147,2,316,0,0,0,3,1,0,43,0,0
Alavus_2007,662,680,2573,416,130,90,4,230,0,0,0,6,0,0,172,0,0
Alavus_2011,549,816,2049,990,120,61,4,231,2,0,0,13,0,0,9,19,0
Alavus_2015,624,700,3144,1255,113,107,14,232,3,0,0,10,0,0,86,35,0
Alavus_2019,607,770,2174,2007,124,174,15,350,6,0,0,4,0,0,6,13,0
Alavus_2023,460,649,2089,2100,91,104,19,379,0,0,0,2,0,83,2,0,0
Anjalankoski -09_1983,5211,2592,2412,1093,990,0,12,422,91,0,0,0,0,0,0,0,0
Anjalankoski -09_1987,4741,2309,2527,522,514,260,11,309,100,348,0,0,25,0,0,0,106
Anjalankoski -09_1991,4124,1731,2870,211,505,469,0,366,0,0,0,0,25,0,0,0,37
Anjalankoski -09_1995,4692,1551,2240,19,614,380,0,236,43,0,89,0,6,0,180,0,0
Anjalankoski -09_1999,3386,1328,3232,7,628,256,0,394,31,0,0,28,5,0,27,0,0
Anjalankoski -09_2003,3261,847,3658,23,687,197,0,323,0,0,0,30,19,0,17,0,0
Anjalankoski -09_2007,2537,1054,3117,494,768,232,0,486,1,0,0,21,0,0,10,0,0
Anttola -01_1983,383,221,429,59,19,0,0,30,0,0,0,0,0,0,0,0,0
Anttola -01_1987,340,214,413,69,14,19,0,21,0,5,0,0,20,0,0,0,12
Anttola -01_1991,272,161,444,48,15,75,0,29,0,0,0,0,3,0,0,0,1
Anttola -01_1995,329,150,427,18,23,45,0,27,0,6,10,0,2,0,10,0,1
Anttola -01_1999,292,160,427,7,21,57,0,36,3,0,0,0,0,0,0,0,2
Artjärvi -11_1983,118,252,417,411,32,0,9,36,2,3,0,0,0,0,0,0,0
Artjärvi -11_1987,88,235,461,282,22,14,2,22,11,7,0,0,3,0,0,0,6
