'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0161';'Laila Margit                  ';'Koskela                      ';'sairaanhoitaja                                              ';'Pirkanmaan vaalipiiri           ';'PS  ';'Laila Koskelan tukiyhdistys';'4640,39';'3591,33';'';'';'39';'';'295,06';'405';'';'310';'';'';'4640,39';'4222,09';'';'118,30';'X';'';'';' ';'';'';' ';'';'300';'X';'';'';' ';'';'';''
'0163';'Heikki Pekka                  ';'Luoto                        ';'ohjelmistosuunnittelija                                     ';'Pirkanmaan vaalipiiri           ';'PS  ';'';'5795,25';'3936';'0';'0';'147,6';'0';'279,69';'1370,5';'0';'40';'0';'21,46';'5850,51';'3456,61';'0';'2143,9';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'250';'X';'';'0';''
'0089';'Pauli Antero                  ';'Kiuru                        ';'FM, MBA, kansanedustaja';'Pirkanmaan vaalipiiri           ';'KOK ';'';'82029,73';'35498,92';'8610,00';'6421,92';'3521,25';'';'10923,64';'3224,17';'7238,55';'3555,08';'2842,20';'194,00';'82029,73';'60508,34';'';'2606,00';'X';'';'6399,00';'X';'';'';'X';'';'12516,39';' ';'';'';'X';'';'';'2.1. Omat varat ovat palkinto- ja starttirahoja urheilu-uraltani vuodelta 1992 sekä niistä kertyneitä sijoitustuottoja.  Vuonna 1992 kilpailin muun muassa Havaijin ja Australian Ironman triathlon-kisoissa.       Lisäkommentteja: www.paulikiuru.fi/vaalirahoitus'
'0165';'Lea Kaarina                   ';'Mäkipää                      ';'merkonomi                                                   ';'Pirkanmaan vaalipiiri           ';'PS  ';'Pirkanmaan puolesta';'63799,53';'11216,75';'';'';'20,00';'22432,40';'2438,90';'16857,75';'1103,70';'2346,10';'';'7383,93';'63799,53';'35545,53';'';'1968,00';'X';'';'25710,00';'X';'';'';'X';'';'576,00';'X';'';'';'X';'';'';''
'0178';'Saara Elina                   ';'Karhu                        ';'kansanedustaja, tv-toimittaja                               ';'Pirkanmaan vaalipiiri           ';'SDP ';'Parempaa elämää Pirkanmaalla ry';'14842,68';'13784,73';'';'';'10,00';'';'';'1047,95';'';'';'';'';'14842,68';'9385,65';'0';'305,00';'X';'';'0';' ';'';'0';' ';'';'0';' ';'Selvennykseksi mainittakoon, että oman puolueyhdistykseni, Tampereen Työväenyhdistyksen, vaalituki oli nolla euroa';'5152,03';' ';'Tukiryhmäni Parempaa elämää Pirkanmaalla ry sai vaalia varten tukea lukuisilta eri tahoilta erikokoisia, pääasiassa pieniä summia, jotka tätä yhtä summaa lukuunottamatta jäävät alle 1500 euron, ';'0';''
'0190';'Pia-Liisa                     ';'Viitanen                     ';'kansanedustaja                                              ';'Pirkanmaan vaalipiiri           ';'SDP ';'Pirkanpi ry.';'36170';'13522';'0';'13998';'411';'0';'959';'2326';'1290';'302';'0';'3362';'36170';'22995';'0';'2260';'X';'';'0';' ';'';'0';' ';'';'3350';' ';'';'7565';' ';'Pirkanpi on kerännyt varoja koko vaalikauden erilaisilla myynneillä (teatterinäytökset, vihdat, Pia-nuket jne), Summa muodostuu 4 vuoden varainhankinnan tuloksena, Pirkanpin saamat summat ovat pieniä eivätkä ylitä 1500 euroa, Loppu summa sisältää useammalta eri yhdistykseltä tulleita tukia, joista yksikään ei ole yli 1500 euroa,';'0';''
'0094';'Arto Olavi                    ';'Satonen                      ';'kansanedustaja                          ';'Pirkanmaan vaalipiiri           ';'KOK ';'';'89677,81';'27201,61';'';'';'4575,60';'';'7137,20';'13620,10';'15616,70';'8401,35';'1298,33';'11826,92';'89677,81';'76078,49';'';'3843,54';'X';'';'6755,78';'X';'';'';' ';'';'2000';' ';'';'1000';'X';'';'';''
'0086';'Harri Matti                   ';'Jaskari                      ';'kansanedustaja, hallintotieteiden lisensiaatti              ';'Pirkanmaan vaalipiiri           ';'KOK ';'';'51770,50';'20862,18';'2790,01';'0';'2642,28';'0';'6965';'1918,64';'7201,48';'8104,80';'0';'1286,11';'51770,50';'1470,50';'0';'3000';'X';'';'44800';'X';'';'0';' ';'';'2500';' ';'Tampereen Harjun kokoomus ry, on maksanut Aamulehden lehti-ilmoituksia 2500 euron edestä,';'0';' ';'';'0';'Muut kulut sisältää postikulut 357,24 euroa, vaalirahoitusopas 49 euroa, puhelinkulut 161,32 euroa, matkakulut 268,55 euroa ja mainosjakelu 450 euroa.'
'0205';'Arto Väinö Uolevi             ';'Pirttilahti                  ';'kansanedustaja                                ';'Pirkanmaan vaalipiiri           ';'KESK';'';'66295';'11922';'3541';'';'332';'';'20611';'14651';'6027';'5586';'3625';'';'66295';'1163';'50000';'8932';' ';'';'6200';'X';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0172';'Pertti Olavi                  ';'Virtanen                     ';'kansanedustaja                                              ';'Pirkanmaan vaalipiiri           ';'PS  ';'';'2300';'1600';'200';'';'';'';'';'300';'200';'';'';'';'2300';'2300';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
