'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0067';'Mia';'Haglund';'generalsekreterare, politices magister';'Helsingin vaalipiiri';'VAS';'30.5.2023';'';'Mia Haglundin tukiryhmä';'10753,82';'2246,70';'0';'0';'1850,14';'86,16';'2702';'2744';'0';'824,82';'0';'300';'10753,82';'4769,32';'0';'2585,5';'X';'';'0';'X';'';'0';'X';'';'400';'X';'';'2999';'';'';'0';''
'0070';'Veronika';'Honkasalo';'kansanedustaja, valtiotieteiden tohtori, riksdagsledamot, politices doktor';'Helsingin vaalipiiri';'VAS';'5.6.2023';'';'Veronika Honkasalon tukiryhmä';'22278,92';'7662,44';'';'';'860,56';'';'4910';'7428,27';'372';'1045,65';'';'';'22278,92';'4822,92';'';'7557,00';'X';'';'550,00';'';'';'';'X';'';'1949,00';'X';'';'7400,00';'';'';'';''
'0074';'Mai';'Kivelä';'kansanedustaja, Master of Arts';'Helsingin vaalipiiri';'VAS';'29.5.2023';'';'Mai Kivelän tukiryhmä';'43949,19';'4798,46';'';'';'20626,38';'';'5186,85';'3694,24';'7480';'1917,26';'196';'50';'43949,19';'10533,81';'';'16670,38';'';'Tero Leponiemi, mainonnan suunnittelu saatu palveluna, arvo 7480 euroa.';'';'X';'';'';'X';'';'950';'X';'';'15795';'';'';'';''
'0076';'Minja';'Koskela';'yhteiskuntatieteiden maisteri, musiikin tohtori';'Helsingin vaalipiiri';'VAS';'28.5.2023';'';'Minja Koskelan tukiryhmä';'24932,73';'';'1004,40';'';'6929,42';'76,73';'4942';'6107,24';'1798';'3519,14';'532,7';'23,1';'24932,73';'3908,72';'0';'16174,01';'X';'';'0';'X';'';'0';'X';'';'250';'X';'';'4600';'';'';'';''
'0086';'Eva';'Biaudet';'riksdagsledamot, kansanedustaja';'Helsingin vaalipiiri';'RKP';'5.6.2023';'';'';'56996,65';'22502,77';'';'';'5991,51';'2395,46';'2017,85';'14606,99';'2770,78';'420,79';'';'6290,50';'56996,65';'3947,65';'';'25869';'';'';'2390';'X';'';'6640';'';'';'7030,00';'';'';'11120,00';'';'';'';''
'0098';'Marcus';'Rantala';'politices magister, partner, valtiotieteiden maisteri, osakas';'Helsingin vaalipiiri';'RKP';'4.6.2023';'';'Svensk metropol rf';'68241,20';'36383,63';'';'';'4423,05';'5775,67';'9663';'1496,93';'2233,71';'2934,58';'4882';'448,63';'68241,20';'1749,20';'';'18602';'X';'';'17280';'X';'';'10200';'';'';'1000';'X';'';'19410';'';'';'';''
'0132';'Maaret';'Castrén';'lääkäri, professori';'Helsingin vaalipiiri';'KOK';'14.5.2023';'';'';'13921,07';'5198,07';'';'';'';'120,00';'2356,00';'1341,00';'4906,00';'';'';'';'13921,07';'2461,07';'0';'4150,00';'';'';'3800,00';'';'';'510,00';'';'';'0';'';'';'3000,00';'';'';'0,00';''
'0136';'Atte';'Kaleva';'kansanedustaja, sotatieteiden maisteri';'Helsingin vaalipiiri';'KOK';'5.6.2023';'';'Menestyvä Suomi ry';'22492,29';'5979,46';'';'';'1181,60';'';'7680,43';'7154,80';'496';'';'';'';'22492,29';'6663,29';'';'5415';'X';'';'499';'X';'';'525';'X';'';'3000';'';'';'6390';'';'';'';''
'0138';'Terhi';'Koulumies';'kansanedustaja, valtiotieteiden maisteri';'Helsingin vaalipiiri';'KOK';'5.5.2023';'';'';'44757,36';'5649,8';'';'13999,68';'3715,02';'';'19675,81';'272,65';'911,4';'';'';'533';'44757,36';'41982,64';'';'';'X';'';'';'X';'';'';'X';'';'2774,72';'';'';'';'X';'';'';''
'0141';'Jarmo';'Lindberg';'kenraali evp.';'Helsingin vaalipiiri';'KOK';'1.6.2023';'';'';'43910,00';'23271,62';'4984,43';'0';'2083,46';'0';'3364,37';'5299,44';'756,20';'2301';'0';'1849,48';'45409,00';'0,00';'0,00';'20515,00';'X';'';'17094,00';'X';'';'300,00';'X';'';'3000,00';'';'';'4500,00';'';'';'0,00';''
