,Ehdokasnumero,Etunimet,Sukunimi,Arvo/ammatti/tehtava,municipality,party,Ehdokkaan mahdollisen tukiryhman nimi,total_expenses,sl_newspapers_periodicals,sl_radio,sl_television,sl_information_networks,sl_other_media,sl_outdoor_advertising,sl_printed_material_procurement,sl_advertising_planning,sl_rallies,sl_fundraising,sl_other,total_raised,tf_self_funding,tf_loans,tf_private_individuals,"2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta (""x"")",2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti,tf_companies,"2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta (""x"")",2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti,tf_party,"2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta (""x"")",2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti,tf_party_associations,"2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta (""x"")",2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti,tf_others,"2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta (""x"")",2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti,2.8 Rahoitus sisaltaa valitettya tukea yhteensa,E. vapaaehtoinen erittely,LR_cand-id,Election type,Electoral district / county number,Municipality number,Area type,Voting area identifier,Abbreviation for an electoral district / a county in Finnish,Abbreviation for an electoral district / a county in Swedish,Permanent party identifier,Standard party number,List order number,Electoral alliance number,Abbreviated name of a political party/group in Finnish,Abbreviated name of a political party/group in Swedish,Abbreviated name of a political party/group in English,Candidate number,Name of a municipality/electoral district/voting area in Finnish,Name of a municipality/electoral district/voting area in Swedish,A person’s first name,A person’s last name,Gender,age,Profession,Code for place of residence,The name of a place of residence in Finnish,The name of a place of residence in Swedish,Candidate’s language,Member of the European Parliament,Member of Parliament,Municipal councillor,County councillor,Abbreviated name of the first comparison election,Number of votes in the first comparison election,Number of votes cast in advance,Number of votes cast on election day,Total number of votes,Percentage (%) of votes cast in advance,Percentage (%) of votes on election day,vote_prct,Elected information,Comparative index,Position,Final position,Calculation status,Calculation phase,Latest update,year,Saapumispaiva,Muokkauspaiva,LR_incumbency,own_fund_prct,full_name,total_raised_per_1k,num_candidates_in_municipality,normalized_vote_prct,incumbency_County,incumbency_European Parliament,incumbency_Municipal,incumbency_None,incumbency_Parliament
0,161,Laila Margit                  ,Koskela                      ,sairaanhoitaja                                              ,Pirkanmaan vaalipiiri           ,Other,Laila Koskelan tukiyhdistys,4640.39,3591.33,,,39.0,,295.06,405.0,,310.0,,,4640.39,4222.09,,118.3,X,,, ,,, ,,300.0,X,,, ,,,,161-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,161,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Laila                                             ,Koskela                                           ,2,62,sairaanhoitaja                                                                                                                                                                                          ,837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,5063,4109,9172,38,29,3.3,1,57844000,3,3,V,T,20131212175905,2011,,,Municipal,0.9098567146295893,Laila Margit                   Koskela                      ,4.64039,207,1.3884146341463413,False,False,True,False,False
1,163,Heikki Pekka                  ,Luoto                        ,ohjelmistosuunnittelija                                     ,Pirkanmaan vaalipiiri           ,Other,,5795.25,3936.0,0.0,0.0,147.6,0.0,279.69,1370.5,0.0,40.0,0.0,21.46,5850.51,3456.61,0.0,2143.9,X,,0.0,X,,0.0,X,,0.0,X,,250.0,X,,0,,163-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,163,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Heikki                                            ,Luoto                                             ,1,41,ohjelmistosuunnittelija                                                                                                                                                                                 ,837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,1981,2201,4182,15,16,1.5,2,11568800,20,20,V,T,20131212175905,2011,,,Municipal,0.5908219967148163,Heikki Pekka                   Luoto                        ,5.85051,207,0.6310975609756098,False,False,True,False,False
2,89,Pauli Antero                  ,Kiuru                        ,"FM, MBA, kansanedustaja",Pirkanmaan vaalipiiri           ,Other,,82029.73,35498.92,8610.0,6421.92,3521.25,,10923.64,3224.17,7238.55,3555.08,2842.2,194.0,82029.73,60508.34,,2606.0,X,,6399.0,X,,,X,,12516.39, ,,,X,,,2.1. Omat varat ovat palkinto- ja starttirahoja urheilu-uraltani vuodelta 1992 sekä niistä kertyneitä sijoitustuottoja.  Vuonna 1992 kilpailin muun muassa Havaijin ja Australian Ironman triathlon-kisoissa.       Lisäkommentteja: www.paulikiuru.fi/vaalirahoitus,89-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,89,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Pauli                                             ,Kiuru                                             ,1,48,"filosofian maisteri, Master of Business Administration                                                                                                                                                  ",908,Valkeakoski                             ,Valkeakoski                             ,  , , ,1, ,          ,0000000,2405,2935,5340,18,21,1.9,1,15258500,13,13,V,T,20131212175905,2011,,,Municipal,0.7376391461973604,Pauli Antero                   Kiuru                        ,82.02973,207,0.799390243902439,False,False,True,False,False
3,165,Lea Kaarina                   ,Mäkipää                      ,merkonomi                                                   ,Pirkanmaan vaalipiiri           ,Other,Pirkanmaan puolesta,63799.53,11216.75,,,20.0,22432.4,2438.9,16857.75,1103.7,2346.1,,7383.93,63799.53,35545.53,,1968.0,X,,25710.0,X,,,X,,576.0,X,,,X,,,,165-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,165,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Lea                                               ,Mäkipää                                           ,2,63,merkonomi                                                                                                                                                                                               ,250,Kihniö                                  ,Kihniö                                  ,  , , ,1, ,          ,0000000,5216,3818,9034,39,27,3.3,1,28922000,6,6,V,T,20131212175905,2011,,,Municipal,0.5571440730049265,Lea Kaarina                    Mäkipää                      ,63.79953,207,1.3884146341463413,False,False,True,False,False
4,178,Saara Elina                   ,Karhu                        ,"kansanedustaja, tv-toimittaja                               ",Pirkanmaan vaalipiiri           ,Other,Parempaa elämää Pirkanmaalla ry,14842.68,13784.73,,,10.0,,,1047.95,,,,,14842.68,9385.65,0.0,305.0,X,,0.0, ,,0.0, ,,0.0, ,"Selvennykseksi mainittakoon, että oman puolueyhdistykseni, Tampereen Työväenyhdistyksen, vaalituki oli nolla euroa",5152.03, ,"Tukiryhmäni Parempaa elämää Pirkanmaalla ry sai vaalia varten tukea lukuisilta eri tahoilta erikokoisia, pääasiassa pieniä summia, jotka tätä yhtä summaa lukuunottamatta jäävät alle 1500 euron, ",0,,178-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,1,3,14,12,SDP   ,SDP   ,SDP   ,178,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Saara                                             ,Karhu                                             ,2,53,"kansanedustaja, tv-toimittaja                                                                                                                                                                           ",837,Tampere                                 ,Tammerfors                              ,  , ,1, , ,          ,0000000,4187,4140,8327,32,29,3.0,1,29600500,5,5,V,T,20131212175905,2011,,,European Parliament,0.6323420029266952,Saara Elina                    Karhu                        ,14.84268,207,1.2621951219512195,False,True,False,False,False
5,190,Pia-Liisa                     ,Viitanen                     ,kansanedustaja                                              ,Pirkanmaan vaalipiiri           ,Other,Pirkanpi ry.,36170.0,13522.0,0.0,13998.0,411.0,0.0,959.0,2326.0,1290.0,302.0,0.0,3362.0,36170.0,22995.0,0.0,2260.0,X,,0.0, ,,0.0, ,,3350.0, ,,7565.0, ,"Pirkanpi on kerännyt varoja koko vaalikauden erilaisilla myynneillä (teatterinäytökset, vihdat, Pia-nuket jne), Summa muodostuu 4 vuoden varainhankinnan tuloksena, Pirkanpin saamat summat ovat pieniä eivätkä ylitä 1500 euroa, Loppu summa sisältää useammalta eri yhdistykseltä tulleita tukia, joista yksikään ei ole yli 1500 euroa,",0,,190-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,1,3,14,12,SDP   ,SDP   ,SDP   ,190,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Pia                                               ,Viitanen                                          ,2,44,kansanedustaja                                                                                                                                                                                          ,837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,4035,3695,7730,30,26,2.8,1,19733667,11,11,V,T,20131212175905,2011,,,European Parliament,0.6357478573403373,Pia-Liisa                      Viitanen                     ,36.17,207,1.1780487804878046,False,True,False,False,False
6,94,Arto Olavi                    ,Satonen                      ,kansanedustaja                          ,Pirkanmaan vaalipiiri           ,Other,,89677.81,27201.61,,,4575.6,,7137.2,13620.1,15616.7,8401.35,1298.33,11826.92,89677.81,76078.49,,3843.54,X,,6755.78,X,,, ,,2000.0, ,,1000.0,X,,,,94-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,94,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Arto                                              ,Satonen                                           ,1,44,"kansanedustaja, opettaja                                                                                                                                                                                ",790,Sastamala                               ,Sastamala                               ,  , ,1,1, ,          ,0000000,3815,3206,7021,29,23,2.6,1,30517000,4,4,V,T,20131212175905,2011,,,European Parliament,0.8483535670641378,Arto Olavi                     Satonen                      ,89.67781,207,1.0939024390243903,False,True,False,False,False
7,86,Harri Matti                   ,Jaskari                      ,"kansanedustaja, hallintotieteiden lisensiaatti              ",Pirkanmaan vaalipiiri           ,Other,,51770.5,20862.18,2790.01,0.0,2642.28,0.0,6965.0,1918.64,7201.48,8104.8,0.0,1286.11,51770.5,1470.5,0.0,3000.0,X,,44800.0,X,,0.0, ,,2500.0, ,"Tampereen Harjun kokoomus ry, on maksanut Aamulehden lehti-ilmoituksia 2500 euron edestä,",0.0, ,,0,"Muut kulut sisältää postikulut 357,24 euroa, vaalirahoitusopas 49 euroa, puhelinkulut 161,32 euroa, matkakulut 268,55 euroa ja mainosjakelu 450 euroa.",86-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,86,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Harri                                             ,Jaskari                                           ,1,47,"kansanedustaja, hallintotieteiden lisensiaatti                                                                                                                                                          ",837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,2204,2352,4556,17,17,1.7,1,12206800,18,18,V,T,20131212175905,2011,,,European Parliament,0.028404207029099585,Harri Matti                    Jaskari                      ,51.7705,207,0.7152439024390244,False,True,False,False,False
8,205,Arto Väinö Uolevi             ,Pirttilahti                  ,kansanedustaja                                ,Pirkanmaan vaalipiiri           ,KESK,,66295.0,11922.0,3541.0,,332.0,,20611.0,14651.0,6027.0,5586.0,3625.0,,66295.0,1163.0,50000.0,8932.0, ,,6200.0,X,,, ,,, ,,, ,,,,205-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,2,1,15,13,KESK  ,CENT  ,CENT  ,205,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Arto                                              ,Pirttilahti                                       ,1,48,"toiminnanjohtaja, agrologi                                                                                                                                                                              ",508,Mänttä-Vilppula                         ,Mänttä-Vilppula                         ,  , , ,1, ,          ,0000000,3132,2384,5516,24,17,2.0,1,28597000,7,7,V,T,20131212175905,2011,,,Municipal,0.01754280111622294,Arto Väinö Uolevi              Pirttilahti                  ,66.295,207,0.8414634146341463,False,False,True,False,False
9,172,Pertti Olavi                  ,Virtanen                     ,kansanedustaja                                              ,Pirkanmaan vaalipiiri           ,Other,,2300.0,1600.0,200.0,,,,,300.0,200.0,,,,2300.0,2300.0,,,X,,,X,,,X,,,X,,,X,,,,172-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,172,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,"Pertti ""Veltto""                                   ",Virtanen                                          ,1,59,kansanedustaja                                                                                                                                                                                          ,837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,2939,3587,6526,22,25,2.4,1,19281333,12,12,V,T,20131212175905,2011,,,European Parliament,1.0,Pertti Olavi                   Virtanen                     ,2.3,207,1.0097560975609756,False,True,False,False,False
